Title,Patent Number,Abstract,Classification,Inventors,Current Assignee,link
,,,,,,
Flexible structures for sensors and electronics,US7501069B2,"This invention provides free-standing structures, functionalized free-standing structures and functional devices that are flexible, including nano- and micromachined flexible fabrics comprising woven networks and mesh networks. The present invention provides processing methods for making and functionalizing flexible free-standing structures having a wide range of integrated materials, devices and device components. The methods of the present invention are capable of providing large area functional electronic, optoelectronic, fluidic, and electromechanical devices and device arrays which exhibit good device performance in stretched, bent and/or deformed configurations.","Classifications
 
 H05K1/0289 Programmable, customizable or modifiable circuits having an universal lay-out, e.g. pad or land grid patterns or mesh patterns having a matrix lay-out, i.e. having selectively interconnectable sets of X-conductors and Y-conductors in different planes
 View 31 more classifications",[' Chang LiuNannan Chen '],University of Illinois,https://patents.google.com/patent/US6341498B1/en?q=(electronics)&country=US&language=ENGLISH&page=16
,,,,,,
Device for cooling power electronics,US5453911A,"A heatsink or cold plate is provided with which power electronic components mounted to a surface of the cold plate can be cooled with a cooling fluid flowing through the cold plate. The cold plate generally consists of a relatively planar structure through which one or more passages are formed for directing the cooling fluid through the cold plate. The passages direct the cooling fluid to recesses in the surface of the cold plate which are enclosed by the power electronic components. As such, cooling of the power electronic components is achieved by directly impinging the cooling fluid at their lower surfaces, preferably at an acute angle, such that enhanced heat transfer characteristics result.","Classifications
 
 H05K7/20927 Liquid coolant without phase change
 View 2 more classifications","[' James H', ' WolgemuthJoseph Madak ']",Motors Liquidation Co,https://patents.google.com/patent/US7501069B2/en?q=(electronics)&country=US&language=ENGLISH&page=16
,,,,,,
Apparatus and method for adjusting coolant flow resistance through liquid-cooled electronics rack(s),US9655282B2,"A method is presented for adjusting coolant flow resistance through one or more liquid-cooled electronics racks. Flow restrictors are employed in association with multiple heat exchange tube sections of a heat exchange assembly, or in association with a plurality of coolant supply lines or coolant return lines feeding multiple heat exchange assemblies. Flow restrictors associated with respective heat exchange tube sections (or respective heat exchange assemblies) are disposed at the coolant channel inlet or coolant channel outlet of the tube sections (or of the heat exchange assemblies). These flow restrictors tailor coolant flow resistance through the heat exchange tube sections or through the heat exchange assemblies to enhance overall heat transfer within the tube sections or across heat exchange assemblies by tailoring coolant flow. In one embodiment, the flow restrictors tailor a coolant flow distribution differential across multiple heat exchange tube sections or across multiple heat exchange assemblies.","Classifications
 
 H05K7/20709 Modifications to facilitate cooling, ventilating, or heating for server racks or cabinets; for data centers, e.g. 19-inch computer racks
 View 5 more classifications","[' Wayne A', ' BarringerDavid P', ' GRAYBILLMadhusudan K', ' IyengarRoger R', ' SchmidtJames J', ' STEFFESGerard V', ' Weber, Jr', ' ']",International Business Machines Corp,https://patents.google.com/patent/US5453911A/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Quinone compounds as dopants in organic electronics,US8592806B2,The invention relates to novel quinone compounds and to the use thereof as dopants in organic electronics.,"Classifications
 
 C07D209/34 Oxygen atoms in position 2
 View 3 more classifications",[' Jianqiang QuNicolle LangerIngmar BruderImke Britta MuellerSoichi Watanabe '],NovaLED GmbH,https://patents.google.com/patent/US9655282B2/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Mechanism for inserting and withdrawing printed board unit of electronics circuit device,US5140501A,"A mechanism for insertion and withdrawal of a printed board unit (20) to and from a shelf (10), by which the printed board is inserted in the shelf with less force and locked therein after the completion of the operation, an the complete insertion can be confirmed by a click noise and a mark. The mechanism includes a lock arm (26), which is fixed to the printed board unit (20) at the base portion thereof and has a flexible tip, a lever (25) pivoted to the printed board unit (20) and provided with a cam surface (30) for driving the lock arm (26) for insertion and withdrawal of the printed board unit (20), and an aperture (17) formed on the shelf (10) and engageable with the lock arm (26) when the same is in a fixed position. The lever (25) occupies predetermined angular positions, both when the printed board unit (20) is completely engaged to a connector and when the printed board unit is withdrawn therefrom.","Classifications
 
 H05K7/1409 Mounting supporting structure in casing or on frame or rack comprising clamping or extracting means for securing or extracting printed circuit boards by lever-type mechanisms",[' Tsutomu TakahashiHideki ZenitaniItsuo Okamoto '],Fujitsu Ltd,https://patents.google.com/patent/US8592806B2/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Electronics package,US2857558A,,"Classifications
 
 B65D85/38 Containers, packaging elements or packages, specially adapted for particular articles or materials for articles particularly sensitive to damage by shock or pressure for delicate optical, measuring, calculating or control apparatus",[],Paul E Fiske,https://patents.google.com/patent/US5140501A/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Apparatus and method for rapid charging using shared power electronics,US8698451B2,An apparatus comprises a power electronic energy conversion system comprising a first energy storage device configured to store DC energy and a first voltage converter configured to convert a second voltage from a remote power supply into a first charging voltage configured to charge the first energy storage device. The apparatus also includes a first controller configured to control the first voltage converter to convert the second voltage into the first charging voltage and to provide the first charging voltage to the first energy storage device during a charging mode of operation and communicate with a second controller located remotely from the power electronic energy conversion system to cause a second charging voltage to be provided to the first energy storage device during the charging mode of operation to rapidly charge the first energy storage device.,"Classifications
 
 B60L53/11 DC charging controlled by the charging station, e.g. mode 4
 View 39 more classifications",[' Robert Dean KingRobert Louis Steigerwald '],General Electric Co,https://patents.google.com/patent/US2857558A/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Display for hand-held electronics,US8558688B2,The invention disclosed here is a display system for managing power and security for a plurality of hand-held electronic devices sold to consumers in a retail location. The display includes features that allow power to be supplied to individual devices and security sensors without continuous hard wiring or multi-conductor retractor cables. The display also allows for individual security alarms to be triggered when a theft occurs. Security alarm conditions are preferably triggered via wireless signals.,"Classifications
 
 G08B25/14 Central alarm receiver or annunciator arrangements
 View 4 more classifications",[' Donald HensonThaine AllisonKris SchatzWade Wheeler '],Mobile Tech Inc,https://patents.google.com/patent/US8698451B2/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Method for programming flash EEPROMS in microprocessor-equipped vehicle control electronics,US6799101B2,"A method for safe programming of an electrically erasable and programmable memory (e.g., a flash EEPROM) in a control unit (e.g., a vehicle ECU) utilizing a programming data set that is read into the control unit and evaluated thereby. The programming data set contains, besides the memory-map to be programmed, an equipment description of the control units authorized for programming so that the control unit can perform an identity check to determine whether it itself belongs to the range of authorized control units. If the identity check indicates that it is authorized for programming, reprogramming is performed using a programming device provided in the control unit itself.","Classifications
 
 G06F21/71 Protecting specific internal or peripheral components, in which the protection of a component leads to protection of the entire computer to assure secure computing or processing of information
 View 2 more classifications",[' Heinrich HawigUlfert Ulken '],WABCO GmbH,https://patents.google.com/patent/US8558688B2/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Integrally molded switch lighting and electronics,US6040534A,"A display/switch/electronic control assembly includes a molded three-piece assembly in which displays/switches/electronics are integrally included on a flexible circuit material sandwiched between a polymeric substrate and a cover, which may include a switching element cooperating with the flex circuit, or a display. The structure preferably is insert-molded with integrally molded sections for providing an inexpensive, reliable control and display system for use in the vehicle environment.","Classifications
 
 H01H13/04 Cases; Covers
 View 2 more classifications","[' Jack A', ' Beukema ']",PRINCE ALBERT PULP CO Ltd Johnson Controls Interiors Technology Corp,https://patents.google.com/patent/US6799101B2/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Field device electronics fed by an external electrical energy supply,US7200503B2,"An electric current controller for field-device electronics controls and/or modulates the supply current. The supply current is driven by a supply voltage provided by an external energy supply. The field-device electronics has an internal operating and evaluating circuit for controlling the field device, as well as an internal supply circuit, the internal input voltage being derived from the supply voltage for feeding the internal operating and evaluating circuit. In the supply circuit is a voltage controller flowed-through, at least at times, by a first component of the supply current. The voltage controller provides in the field-device electronics a first internal, useful voltage controlled to be essentially constant at a predetermined, first voltage level. Moreover, the supply circuit has a second voltage controller flowed through, at least at times, by a second current component of the supply current. The second voltage controller provides in the field-device electronics a second internal. Useful voltage, which is variable over a predetermined voltage range.","Classifications
 
 G01D9/005 Solid state data-loggers
 View 5 more classifications",[' Robert Lalla '],Endress and Hauser Flowtec AG,https://patents.google.com/patent/US6040534A/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Electrocardiography electrodes holder including electrocardiograph electronics,US6259939B1,"An electrocardiography monitoring system is provided, which includes (a) an electrocardiography electrodes holder including (i) a flexible nonconductive flattened article having a fixed precordial configuration, the article featuring a first plane and an opposite second plane, the article serving for holding electrocardiography electrodes; (ii) electrocardiograph electronics attached to the article and in electrical communication with the electrocardiography electrodes; and (iii) a transmitter attached to the article, the transmitter communicating with the electrocardiograph electronics and serving for communicating electrocardiograph signals to a compatible receiver; (b) a receiver compatible for operation with the transmitter; and (c) a computer communicating with the receiver for storing, presenting and/or analyzing the electrocardiograph signals.","Classifications
 
 A61B5/04085 Multiple electrode holders
 View 5 more classifications",[' Dan Rogel '],R Z Comparative Diagnostics Ltd,https://patents.google.com/patent/US7200503B2/en?q=(electronics)&country=US&language=ENGLISH&page=17
,,,,,,
Electronics assembly,US6961248B2,"A chassis for an electronics assembly comprises:
 (i) a frame (1); and
 (ii) a panel (31) located on a face of the frame, the panel comprising a plurality of cooling fans (22) and a holder (30) for the fans.
 The panel allows removal of individual fans from the panel and replacement of any fans while the panel is located on the frame, and the frame allows removal of the panel therefrom and replacement of the panel. The chassis thus allows replacement of any fans without the assembly being shut down, and also reduces downtime of the assembly if all the fans need replacing, for example for maintenance.","Classifications
 
 H05K7/20172 Fan mounting or fan specifications
 View 1 more classifications",[' William Hunt VincentJay Kevin Osborn '],Sun Microsystems Inc,https://patents.google.com/patent/US6259939B1/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Conductive and resistive materials with electrical stability for use in electronics devices,US6344157B1,"An composition with improved electrical stability for use in microelectronic applications comprises a polymeric resin, a conductive filler, optionally either a reactive or a nonreactive diluent, optionally an inert filler, and an oxygen scavenger or corrosion inhibitor or both to provide the electrical stability. Alternatively, the composition may also include a low melting point metal filler component.","Classifications
 
 H05K1/095 Dispersed materials, e.g. conductive pastes or inks for polymer thick films, i.e. having a permanent organic polymeric binder
 View 8 more classifications","[' Chih-Min ChengGerald FredricksonYue XiaoQuinn K', ' TongDaoqiang Lu ']",Henkel IP and Holding GmbH,https://patents.google.com/patent/US6961248B2/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Apparatus for transferring energy using onboard power electronics and method of manufacturing same,US8030884B2,"An apparatus comprises a first energy storage device configured to output a DC voltage, a first bi-directional voltage modification assembly coupled to the first energy storage device, and a charge bus coupled to the first energy storage device and to the first bi-directional voltage modification assembly. The apparatus also comprises high-impedance voltage source coupleable to the charge bus and a controller configured to monitor a transfer of charging energy supplied from the high-impedance voltage source to the first energy storage device. The controller is also configured to compare the monitored transfer of charging energy with a threshold value and, after the threshold value has been crossed, control the first bi-directional voltage modification assembly to modify one of a voltage and a current of the charging energy supplied to the first energy storage device.","Classifications
 
 H02J1/10 Parallel operation of dc sources
 View 9 more classifications",[' Robert Dean KingRobert Louis Steigerwald '],General Electric Co,https://patents.google.com/patent/US6344157B1/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
High density electronics packaging system for hostile environment,US4547833A,"An electronics packaging system suitable for the hostile operating environment of downhole MWD tools is disclosed which has a ""Y""-shaped cross-sectional chassis on the periphery of which are attached a plurality of electronics modules in a ""delta"" configuration to give a rigid, high density assembly with convenient cabling channels running axially of the chassis. Roller supports or annular shoe supports provided on the chassis isolate the electronics from the vibration and shock forces experienced by the housing. The metal-elastomer-metal construction of the supports offers the resiliency needed for vibration dampening and shock absorption, as well as the rigidity needed for rolling and controlling the direction of application of the undissipated forces. Heat sinks are provided both above and below electronics elements to rapidly disseminate localized heat and to radiate heat generally through the housing walls to an external cooling medium.","Classifications
 
 H05K7/20445 Inner thermal coupling elements in heat dissipating housings, e.g. protrusions or depressions integrally formed in the housing the coupling element being an additional piece, e.g. thermal standoff
 View 4 more classifications","[' Stanley O', ' Sharp ']",Schlumberger Technology Corp,https://patents.google.com/patent/US8030884B2/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Temperature protection device for air cooled electronics housing,US5714938A,"A temperature protection device and method for an air-cooled housing containing electronic equipment is disclosed. A fan forces air to circulate through the housing with air being expelled from the housing at a normal operating temperature inside the housing and with air at an ambient temperature being drawn into the housing. A temperature sensitive element such as a temperature sensitive switch is mounted to the housing such that it is maintained cooler than the operating temperature in the housing as a result of air being drawn into the housing and such that it is exposed to the operating temperature only upon failure of the air circulation. The temperature sensitive element or switch generates an interrupt signal when it senses a response temperature which is near the operating temperature in the housing. In the case of a temperature sensitive switch, power to the electronic equipment may be shut down by the switch. In one embodiment, the temperature sensitive element is mounted to a plate fitting in a personal computer expansion port slot, and at least one phase of the AC power is fed through a power connector on the device including a switch before being connected into the computer's AC power input connector.","Classifications
 
 G08B17/06 Electric actuation of the alarm, e.g. using a thermally-operated switch",[' Alphonse Schwabl '],CAE Inc (CORP NO 387674-8),https://patents.google.com/patent/US4547833A/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Electronics connector with heat sink,US7133285B2,"A heat sink includes a body and a heat transmitting member coupled thereto. The body and member are arranged such they each contact a different section of an electronic component, e.g., a PCMCIA card. The heat sink can be integrated into an electronic component connector that enables the heat sink to move parallel with the component during insertion and extraction. The connector can also enable vertical movement of the heat sink during component insertion and extraction.","Classifications
 
 H05K7/20509 Cold plates, e.g. multi-component heat spreader, support plates, non closed structures
 View 2 more classifications",[' Takeshi Nishimura '],YAMAICHI ELECTRONICS U Inc SA Yamaichi Electronics USA Inc,https://patents.google.com/patent/US5714938A/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Cabin air conditioning system with liquid cooling for power electronics,US7334422B2,"An air conditioning system is provided with a cooling air ram that includes both air-to-air heat exchangers, and a liquid sink heat exchanger. The liquid sink heat exchanger receives a cooling fluid that has been utilized to cool a power electronics control for an electric motor. The liquid sink heat exchanger is necessary to properly cool the power electronics control, and by including it in the same cooling air ram with the air-to-air heat exchangers, there is no need for additional ram air cooling circuits to be added to the gas turbine engine.","Classifications
 
 B64D13/06 Arrangements or adaptations of air-treatment apparatus for aircraft crew or passenger, or freight space; or structural parts of the aircarft the air being conditioned
 View 3 more classifications","[' Thomas ZywiakLouis J', ' Bruno ']",Hamilton Sundstrand Corp,https://patents.google.com/patent/US7133285B2/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Portable electronics device with variable sound output,US7092745B1,"A portable device including a housing and an electro-acoustic transducer. The housing has a first surface with an outlet for the egress of an acoustic signal when in a loudspeaker mode and a second surface with an outlet for the egress of an acoustic signal when in an earpiece mode. The electro-acoustic transducer is located within the housing and converts an electrical signal input to the transducer into an acoustic signal. The transducer is operable to output acoustic signals when in the loudspeaker mode or the earpiece mode, the audio path between the transducer and the outlet for the egress of an acoustic signal when in the loudspeaker mode being less attenuated than the audio path between the transducer and the outlet for the egress of an acoustic signal when in the earpiece mode.","Classifications
 
 H04M1/605 Portable telephones adapted for handsfree use involving control of the receiver volume to provide a dual operational mode at close or far distance from the user
 View 3 more classifications","["" Winand D'souza ""]",Nokia Us Holdings Inc Provenance Asset Group LLC,https://patents.google.com/patent/US7334422B2/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Electronics assembly apparatus with height sensing sensor,US6608320B1,"A pick and place machine, and its imaging system are disclosed. The imaging system is movable with a head of the pick and place machine and includes a linear detector which is adapted to move proximate the component to thereby scan the component. The imaging system provides an indication of feature height on a component held by the pick and place machine. The height is based upon the intensity of a plurality of focused images. A method for sensing feature height of an object on a component as well as the coplanarity of objects held by a pick and place machine is also provided.","Classifications
 
 G01B11/024 Measuring arrangements characterised by the use of optical means for measuring length, width or thickness by means of diode-array scanning
 View 6 more classifications","[' Timothy A', ' SkunesSteven K', ' Case ']",CyberOptics Corp,https://patents.google.com/patent/US7092745B1/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
Enclosures for containing transducers and electronics on a downhole tool,US8408355B2,"A downhole tool for subsurface disposal is provided. The tool comprises an elongated tool body, an enclosure attached to an exterior surface of the tool body. The enclosure comprises at least one transducer disposed at an angle with respect to a longitudinal axis of the enclosure, and an electronics board coupled to and disposed adjacent to the at least one transducer. The enclosure also defines an internal cavity, and the internal cavity contains a fluid for insulating the at least one transducer from a downhole environment. The fluid is in direct contact with the at least one transducer and the electronics board.","Classifications
 
 G01V1/52 Structural details","[' Miguel F', ' PabonFernando Garcia OsunaDavid B', ' Ayers ']",Schlumberger Technology Corp,https://patents.google.com/patent/US6608320B1/en?q=(electronics)&country=US&language=ENGLISH&page=18
,,,,,,
High performance pin fin heat sink for electronics cooling,US6591897B1,A heat sink for electronic devices comprises a spreader plate having a top surface and having a bottom surface wherein a portion thereof is defined for affixing an electronic device to be cooled thereto. A plurality of columnar pins are spaced apart one from the other in a non-uniform manner and affixed to the top surface of the spreader plate substantially perpendicular thereto. A highly porous heat conducting reticulated foam block substantially fills a space defined by said spaced apart columnar pins.,"Classifications
 
 H01L23/3677 Wire-like or pin-like cooling fins or heat sinks
 View 4 more classifications",[' Mohinder Singh BhattiShrikant Mukund Joshi '],Coolit Systems Inc,https://patents.google.com/patent/US8408355B2/en?q=(electronics)&country=US&language=ENGLISH&page=19
,,,,,,
Compact thermosiphon with enhanced condenser for electronics cooling,US6714413B1,"A heat sink assembly for cooling an electronic device comprises a fan housed in a shroud, the fan including a hub and fan blades extending therefrom for causing an axially directed airflow through the shroud upon rotation of the fan blades. A thermosiphon comprises an evaporator defining an evaporating chamber containing a working fluid therein and further including a condenser mounted thereabove. The thermosiphon is positioned at one end of the shroud such that the fan is aligned with the condenser for directing the axial airflow therethrough. The condenser includes a base having an upper surface and a plurality of fins extending substantially upwardly from the upper surface. The condenser also includes a plurality of tubes forming a tube grouping. Each tube having an opening in fluid communication with the evaporator and for receiving and condensing vapor of the working fluid received from the evaporator. The tubes are axially aligned with the airflow and are laterally positioned such that a lateral width of the tube grouping is approximately equal to a width of the hub and substantially in lateral alignment therewith.","Classifications
 
 F28F3/02 Elements or assemblies thereof with means for increasing heat-transfer area, e.g. with fins, with recesses, with corrugations
 View 5 more classifications",[' Debashis GhoshMohinder Singh BhattiIlya Reyzin '],Gula Consulting LLC,https://patents.google.com/patent/US6591897B1/en?q=(electronics)&country=US&language=ENGLISH&page=19
,,,,,,
Method and apparatus for contextual search and query refinement on consumer electronics devices,US8935269B2,"A method and a system for searching for information using an electronic device, such as a consumer electronic device, that can be connected to a network. Such searching for information involves determining a context for a search for information, forming a search query based on the context of search for information, and performing a contextual search based on the search query. Performing the contextual search further includes performing a query refinement.","Classifications
 
 G06F17/30646
 View 3 more classifications",[' Alan MesserMithun SheshagiriAnugeetha KunjithapathamPriyang RathodPhuong NguyenDoreen Cheng '],Samsung Electronics Co Ltd,https://patents.google.com/patent/US6714413B1/en?q=(electronics)&country=US&language=ENGLISH&page=19
,,,,,,
Noiseproofed and ventilated enclosure for electronics equipment,US7379299B2,"A system and method are disclosed for enclosing electronic equipment in a noiseproofed and ventilated enclosure. This includes supplying air to an enclosure and removing air from the enclosure through acoustic chambers attached to the enclosure. The acoustic chambers can be constructed of materials or be treated with materials that have noise-absorbing or noise-abating properties. In addition, the acoustic chambers can contain baffles that prevent noise that has entered the acoustic chamber from leaving the chamber. And, the system and method can use a cable egress port that allows cables and wiring to pass through the egress port while blocking the transmission of noise through the egress port.","Classifications
 
 H05K5/0213 Thermal insulation; Venting means; Condensation eliminators
 View 2 more classifications","["" Tim WalshDavid O'Coimin ""]",Kell Systems,https://patents.google.com/patent/US8935269B2/en?q=(electronics)&country=US&language=ENGLISH&page=19
,,,,,,
Title,Patent Number,Abstract,Classification,Inventors,Current Assignee,link
,,,,,,
Integrated microfluidic and electronic components,US6632400B1,"A microfluidic component having a microfluidic channel is bonded to an electronics component having a circuit for processing signals related to the microfluidic component. In an embodiment, the electronics component is a prefabricated integrated circuit chip that includes signal processing and/or process control functionality. The bonding of the microfluidic component to the electronics component provides a modular architecture in which different combinations of microfluidic components and electronics components can be used to create customized processing and analysis tools.","Classifications
 
 G01N27/44791 Microapparatus
 View 9 more classifications","[' Reid A', ' BrennenAntonius A', ' A', ' M', ' van de Goor ']",Agilent Technologies Inc,https://patents.google.com/patent/US7660117B2/en?q=(electronics)&country=US&language=ENGLISH&page=19#
,,,,,,
Heat sinks for electronic enclosures,US7436660B2,"An apparatus for cooling electronics is disclosed. The apparatus generally relates to heat sinks that are operatively connected to electronics enclosures. The heat sinks may be part of the electronics enclosure, or alternately they may be operatively connected to the electronics enclosure. An enclosure preferably prevents solar radiation from striking the surface of the heat sink. At the same time, the enclosure allows air to flow over the heat sink, allowing heat to be dissipated.","Classifications
 
 H04L43/50 Testing arrangements
 View 28 more classifications","[' Albert PedoeemKriss K', ' Replogle ']",Fujitsu Ltd,https://patents.google.com/patent/US6632400B1/en?q=(electronics)&country=US&language=ENGLISH&page=19
,,,,,,
Electronic monitoring medication apparatus and method,US6202642B1,"A system for dispensing medication includes: a medicine canister that contains medicine to be dispensed, an actuator that houses the medicine canister and an adapter assembly that allows for obtaining information. The adapter assembly includes a connector assembly and an electronics module. The connector assembly connects to the medicine canister. The electronics module obtains information related to patient usage of medicine from the medicine canister. In another embodiment, a method for using the same electronics module with first and second medicine dispensing apparatuses, including a first medicine canister and a second medicine canister, is provided. The first medicine canister contains first medicine and the second medicine canister contains second medicine. First information, related to dispensing the first medicine, is stored with the electronics module joined to the first medicine dispensing apparatus. The electronics module is removed from the first medicine dispensing apparatus and joined to the second medicine dispensing apparatus. Second information, related to dispensing the second medicine, is also stored with the electronics module.","Classifications
 
 A61M15/009 Inhalators using medicine packages with incorporated spraying means, e.g. aerosol cans
 View 4 more classifications","[' Robert J', ' McKinnonBrian E', ' DickersonThomas L', ' Taccini ']",WestMed Inc,https://patents.google.com/patent/US7436660B2/en?q=(electronics)&country=US&language=ENGLISH&page=19
,,,,,,
Massively parallel interface for electronic circuit,US7403029B2,"Several embodiments of massively parallel interface structures are disclosed, which may be used in a wide variety of permanent or temporary applications, such as for interconnecting integrated circuits (ICs) to test and burn-in equipment, for interconnecting modules within electronic devices, for interconnecting computers and other peripheral devices within a network, or for interconnecting other electronic circuitry. Preferred embodiments of the massively parallel interface structures provide massively parallel integrated circuit test assemblies. The massively parallel interface structures preferably use one or more substrates to establish connections between one or more integrated circuits on a semiconductor wafer, and one or more test modules. One or more layers on the intermediate substrates preferably include MEMS and/or thin-film fabricated spring probes. The parallel interface assemblies provide tight signal pad pitch and compliance, and preferably enable the parallel testing or burn-in of multiple ICs, using commercial wafer probing equipment. In some preferred embodiments, the parallel interface assembly structures include separable standard electrical connector components, which reduces assembly manufacturing cost and manufacturing time. These structures and assemblies enable high speed testing in wafer form.","Classifications
 
 G01R31/2863 Contacting devices, e.g. sockets, burn-in boards or mounting fixtures
 View 5 more classifications",[' Fu Chiung ChongSammy Mok '],Advantest (Singapore) Pte Ltd,https://patents.google.com/patent/US7403029B2/en?q=(electronics)&country=US&language=ENGLISH&page=20
,,,,,,
Electronic device employing a touch sensitive transducer,US5920310A,An electronic device is provided making use of a touch pad module to implement user input functions. The electronic device includes a case having a region of thinner cross section than the remaining case side wall for receiving the touch pad module. The case is further provided with a through hole in the area of its thinner cross section for receiving control electronics of the touch pad module enabling the region of thinner cross section to physically support the touch pad module so that the module can be thinner than what is conventionally believed to be necessary to maintain its physical integrity while in use as an input device.,"Classifications
 
 G06F1/1616 Constructional details or arrangements for portable computers with several enclosures having relative motions, each enclosure supporting at least one I/O or computing function with folding flat displays, e.g. laptop computers or notebooks having a clamshell configuration, with body parts pivoting to an open position around an axis parallel to the plane they define in closed position
 View 3 more classifications","[' Federico FagginJoel A', ' SeelyTimothy P', ' Allen ']",Synaptics Inc,https://patents.google.com/patent/US7403029B2/en?q=(electronics)&country=US&language=ENGLISH&page=20
,,,,,,
User interface for electronic devices for controlling the displaying of long sorted lists,USRE46659E1,"In a user-interface application, a computing apparatus has a user-interface to assist the user in searching for information from a data array. In an example embodiment according to the present invention, the data array is an ordered list of addresses. In a UI so equipped, the user experiences a particular sequence of events. The user begins at a point on a list of addresses. After the user rotates a jog/shuttle knob, the list rolls down a low rate. As the user rotates the jog/shuttle knob further the scroll accelerates. After a predetermined time or number of items, a helper character is displayed. This character may represent a first letter of a name or a first digit of a telephone number. The UI displays the helper character to the user. The user continues to hold the position of the jog/shuttle knob until a help character, corresponding to his/her desired selection, appears. The user releases the jog/shuttle knob and may step through among a smaller group of data to locate the particular selection by incrementally rotating the knob from the neutral position.","Classifications
 
 G06F3/0482 Interaction techniques based on graphical user interfaces [GUI] based on specific properties of the displayed interaction object or a metaphor-based environment, e.g. interaction with desktop elements like windows or icons, or assisted by a cursor's changing behaviour or appearance interaction with lists of selectable items, e.g. menus
 View 3 more classifications",[' Marcel van Os '],Koninklijke Philips NV,https://patents.google.com/patent/US5920310A/en?q=(electronics)&country=US&language=ENGLISH&page=20
,,,,,,
Electronic device for use in regions subject to explosion hazards,US6366436B1,"A description is given of an electronic device for use in regions subject to explosion hazards, which is small and light, can be produced cost-effectively and offers a high degree of flexibility, having a housing (1) with a connecting chamber (3), which is designed in accordance with the safety class Ex-d or Ex-e, in which there is arranged a connecting element (6) to which electric lines can be connected, and in which there is arranged a circuit (9) for limiting a current, a voltage and a power which are fed to the device via the lines during operation, the limitation being performed in accordance with the requirements of safety class Ex-i, and having an electronics chamber (4), in which there is arranged an electronic system (11) designed in accordance with the safety class Ex-i, and which can be opened, in which housing (1) the connecting chamber (3) and the electronics chamber (4) are mutually separated, and a pressure-proof electric bushing (10) is provided through which at least one output line of the circuit (9) is led from the connecting chamber (3) into the electronics chamber (4), where it is connected to the electronic system (11) during operation.","Classifications
 
 G01F15/14 Casings, e.g. of special material
 View 4 more classifications",[' Winfried MaierHartmut GüthnerRoberto Cudini '],Endress and Hauser SE and Co KG,https://patents.google.com/patent/USRE46659E1/en?q=(electronics)&country=US&language=ENGLISH&page=20
,,,,,,
Electronic wrist-worn device and method of controlling the same,US6745069B2,"The invention relates to an electronic wrist-worn device, such as a heart rate monitor, a sportsman's watch or a diving computer, and its control method. The outside of the casing of the device comprises a bottom surface to be placed against the wrist, a top surface (304), and a side surface (308) between the bottom surface and the top surface (304). On the top surface (304) of the casing there is provided a first display (306) connected to the control electronics. On the side surface (308) of the casing there is provided a second display (400, 402, 404; 406) connected to the control electronics. The best viewing angle of the first display (306) and the best viewing angle of the second display (400, 402, 404; 406) are at an angle of 60 to 120 degrees with respect to each other.","Classifications
 
 G04G21/02 Detectors of external physical values, e.g. temperature
 View 3 more classifications",[' Seppo NissilåPertti Puolakanaho '],Polar Electro Oy,https://patents.google.com/patent/US6366436B1/en?q=(electronics)&country=US&language=ENGLISH&page=20
,,,,,,
Electronic picture book,US6525706B1,"The electronic picture book of the present invention includes a plurality of pages graphically depicting or telling a story. The book further includes an LCD screen and a speaker to provide a reader with animation sequences and sounds that relate to the graphical pictures on the pages. A set of buttons is provided to trigger the animation sequences and sounds. While reading the book, each page indicates a button to depress. The reader, depressing the correct button, is then provided with animation sequences and sounds indicative to the graphic representations on the page.","Classifications
 
 G09B5/06 Electrically-operated educational appliances with both visual and audible presentation of the material to be studied
 View 1 more classifications","[' Steven RehkemperDennis J', "" O'Patka ""]",Rehco LLC,https://patents.google.com/patent/US6745069B2/en?q=(electronics)&country=US&language=ENGLISH&page=20
,,,,,,
